,GNNExplainer,PGExplainer,GNNShap
GAT,0.2911948195361022,0.0,0.3333333333333333
GraphSAGE,0.3624281239601641,0.0,0.2886130516622078
TAGCN,0.05946320280301028,0.0,0.3333333333333333
