scenario,mean_spearman,std,n
1:1,0.42248005448191445,0.1298863855771342,3
1:10,0.5312623545347692,0.1529039742386702,8
1:30_native,0.1875578985101538,0.12884804714080195,6
1:50,0.5931155376044923,0.1778242661035884,5
1:100,0.23887548130772918,0.0,1
