scenario,mean,min,max,count
1:1,0.42248005448191434,0.2730525055100897,0.589710127227337,3
1:10,0.5312623545347692,0.3009815909773102,0.7164289618662288,8
1:50,0.5931155376044922,0.3831956488762438,0.7893761497128561,5
1:100,0.2388754813077291,0.2388754813077291,0.2388754813077291,1
