architecture,1:1,1:10,1:50,1:100
GCN,,0.4841940359329098,,
GraphSAGE,0.43138131636871335,0.471841494849596,0.3889642580655579,0.2388754813077291
GAT,0.4046775307083165,0.6852423887292224,0.6991365110892447,
TAGCN,,0.4899477691690056,0.7893761497128561,
