architecture,mean_val_f1,mean_spearman
GCN,0.31480865224625626,0.4841940359329098
GraphSAGE,0.4611972182372445,0.3448969762593353
GAT,0.3522432092532794,0.534363413496505
TAGCN,0.3562604469762341,0.45718372271346935
