scenario,GNNExplainer,GNNShap,PGExplainer
1:1,0.42248005448191434,0.09999999999999994,0.0
1:10,0.5312623545347692,0.16241991494180572,0.0
1:50,0.5931155376044922,0.11910509824962845,0.0
1:100,0.2388754813077291,0.3333333333333333,0.0
