architecture,mean_val_f1,mean_spearman
GCN,0.31480865224625626,0.4841940359329098
GraphSAGE,0.4577747948952679,0.41188638934063243
GAT,0.3670895645084532,0.6346870660690501
TAGCN,0.33160041269225254,0.5897572293502891
